,Bankrupt?,ROA(C) before interest and depreciation before interest,Operating Gross Margin,Operating Profit Rate,Non-industry income and expenditure/revenue,Operating Expense Rate,Research and development expense rate,Cash flow rate,Interest-bearing debt interest rate,Tax rate (A),Net Value Per Share (B),Persistent EPS in the Last Four Seasons,Cash Flow Per Share,Revenue Per Share (Yuan Â¥),Realized Sales Gross Profit Growth Rate,Operating Profit Growth Rate,After-tax Net Profit Growth Rate,Continuous Net Profit Growth Rate,Total Asset Growth Rate,Net Value Growth Rate,Total Asset Return Growth Rate Ratio,Cash Reinvestment %,Current Ratio,Quick Ratio,Interest Expense Ratio,Total debt/Total net worth,Debt ratio %,Long-term fund suitability ratio (A),Borrowing dependency,Contingent liabilities/Net worth,Inventory and accounts receivable/Net value,Total Asset Turnover,Accounts Receivable Turnover,Average Collection Days,Inventory Turnover Rate (times),Fixed Assets Turnover Frequency,Net Worth Turnover Rate (times),Revenue per person,Operating profit per person,Allocation rate per person,Working Capital to Total Assets,Quick Assets/Total Assets,Current Assets/Total Assets,Cash/Total Assets,Quick Assets/Current Liability,Cash/Current Liability,Inventory/Working Capital,Inventory/Current Liability,Current Liabilities/Liability,Working Capital/Equity,Long-term Liability to Current Assets,Retained Earnings to Total Assets,Total income/Total expense,Total expense/Assets,Current Asset Turnover Rate,Quick Asset Turnover Rate,Working capitcal Turnover Rate,Cash Turnover Rate,Fixed Assets to Assets,Cash Flow to Total Assets,Cash Flow to Liability,CFO to Assets,Cash Flow to Equity,Current Liability to Current Assets,Liability-Assets Flag,Total assets to GNP price,No-credit Interval,Degree of Financial Leverage (DFL),Interest Coverage Ratio (Interest expense to EBIT),Equity to Liability
0,1,0.370594257300249,0.601457213277793,0.998969203197885,0.302646433889668,0.0001256968688759,0.0,0.458143143520965,0.0007250725072507,0.0,0.147949938898487,0.16914058806845,0.311664426681757,0.0175597803893099,0.0221022783580128,0.848194994526472,0.688979462807371,0.217535386199635,4980000000.0,0.000326977269203,0.263099983681843,0.363725271040572,0.0022589633105668,0.0012077550852353,0.629951302036958,0.0212659243655332,0.207576261450555,0.0050244547286145,0.390284354359258,0.006478502486107,0.398035698256887,0.0869565217391304,0.0018138841264849,0.0034873642818412,0.0001820925974295,0.0001165006532358,0.0329032258064516,0.0341641819543792,0.392912869451166,0.0371353015800987,0.67277529248986,0.166672958825266,0.190642959052727,0.004094405952288,0.001996770860645,0.0001473360247605,0.276920158240506,0.001035989991658,0.676269176153092,0.721274551521743,0.02559236799775,0.903224771166726,0.0020216130120256,0.064855707690831,701000000.0,6550000000.0,0.593830503987655,458000000.0,0.424205762216667,0.637555395323871,0.458609147666847,0.52038191789012,0.312904948119326,0.11825047660899,0,0.0092194400211029,0.622878959445127,0.0266006307607414,0.564050112276341,0.0164687409123162
1,1,0.464290937454297,0.610235085544617,0.998945978205482,0.303556430290771,0.0002897850537287,0.0,0.461867257156757,0.0006470647064706,0.0,0.182251064009102,0.2089439349532,0.318136804131004,0.0211443350424248,0.0220801698690499,0.848087883815147,0.689692901209989,0.217619596450422,6110000000.0,0.0004430401005442,0.264515778104141,0.376709139003763,0.0060162058776727,0.0040393668269104,0.635172463390912,0.0125023937843679,0.171176346101521,0.0050588817540408,0.376760019951553,0.0058350394852296,0.397724882539793,0.0644677661169415,0.0012863563044647,0.004916807917444,9360000000.0,719000000.0,0.0254838709677419,0.0068886506176284,0.39158996856697,0.0123349721287826,0.751110917003808,0.127236002293688,0.182419054120616,0.0149477269714099,0.004136029760799,0.0013839100814699,0.28964157642601,0.0052096823995494,0.30858859304371,0.731975288512351,0.0239468186673397,0.931065217577487,0.0022256083431017,0.0255158599950638,0.0001065197627902,7700000000.0,0.59391554785427,2490000000.0,0.468828128338473,0.64109998470196,0.459001053294128,0.567101308703163,0.314163135184666,0.0477752815903248,0,0.0083233017948103,0.623651741728055,0.264576819837375,0.570174946412453,0.020794306334635
2,1,0.426071271876371,0.601450006486113,0.998857353483229,0.302035177342951,0.0002361297205563,25500000.0,0.458520587470538,0.0007900790079007,0.0,0.177910749652353,0.180580504869056,0.30710193110278,0.0059440083488361,0.0227600967722855,0.84809401283004,0.689462676951537,0.217601298963609,7280000000.0,0.0003964253147034,0.264183975569387,0.368913229760441,0.0115425536893801,0.0053475602224365,0.629631443404885,0.0212476860084444,0.207515796474892,0.0050998994135753,0.379092920106557,0.0065619820610314,0.406580451031118,0.0149925037481259,0.0014953384801111,0.004226849460116,65000000.0,2650000000.0,0.0133870967741935,0.0289969595934374,0.381967843332353,0.141016311871331,0.829501914934622,0.340200878481779,0.602805701668708,0.0009909444511248,0.006302481382547,5340000000.0,0.277455528130626,0.0138787857963224,0.446027487157575,0.742728637603645,0.0037151156933692,0.90990336247412,0.0020600706495246,0.0213874282332057,0.0017910937001909,0.001022676471902,0.594501851296042,761000000.0,0.276179222234543,0.642764550242219,0.459254035544147,0.538490539586983,0.31451542627367,0.0253464891288078,0,0.0400028528527523,0.623841037589316,0.0265547199199004,0.563706076496047,0.0164741143272785
3,1,0.399844001364988,0.583541129160121,0.998699747067122,0.303349536022685,0.0001078888488144,0.0,0.465705442741753,0.0004490449044904,0.0,0.154186507100417,0.193722227474709,0.321673622409281,0.0143684680188151,0.0220460668531945,0.8480054773865,0.689109535618137,0.217568188277463,4880000000.0,0.0003824259063219,0.263371175917508,0.384076599232517,0.004194058676884,0.0028964911470803,0.63022835303626,0.0095724017180532,0.151464764035432,0.0050469240634646,0.379742687599394,0.0053658477137564,0.397924501254651,0.0899550224887556,0.0019660556136061,0.0032149673166337,7130000000.0,9150000000.0,0.0280645161290323,0.015463478401363,0.378496641866986,0.0213199897441037,0.725754179688242,0.161574531573533,0.225814868882578,0.0188506248270314,0.0029612376501386,0.0010106464315761,0.276580304232685,0.0035401478961941,0.615848368585853,0.729824908743367,0.0221651997451294,0.906902158837211,0.0018313585555101,0.0241610701740241,8140000000.0,6050000000.0,0.593888792576566,2030000000.0,0.559143963323496,0.579039312335715,0.448517911623987,0.604105056187593,0.302382254833178,0.0672496172630687,0,0.0032524752911273,0.622928709143491,0.0266966344214761,0.564663420271241,0.0239823322073886
4,1,0.465022181055916,0.598783493564335,0.998973131803565,0.303474977757658,7890000000.0,0.0,0.462746282177097,0.0006860686068606,0.0,0.167502422991024,0.212536636097192,0.319162481431704,0.0296897923378254,0.0220959097225217,0.848258202198295,0.689696883030727,0.217625639200419,5510000000.0,0.0004389475818729,0.265218235929474,0.379689653887709,0.0060224461078124,0.0037274466086162,0.636054985548143,0.0051496001240208,0.106509054630105,0.0053033191962841,0.375025442703033,0.0066235253972896,0.400078775707608,0.175412293853073,0.001448672557394,0.004366890533138,0.000163367440506,0.0002935211263343,0.0401612903225807,0.0581114228221436,0.39437145247733,0.0239882116504549,0.751822452472965,0.260329881066954,0.358380159768393,0.0141609737513009,0.0042747708703925,0.000680463559654,0.287912652687691,0.0048685702885864,0.975006616109995,0.731999641010921,0.0,0.91385019745186,0.0022239300347802,0.0263852456518637,6680000000.0,5050000000.0,0.59391526090563,824000000.0,0.309554916594047,0.622374074998875,0.454410931919338,0.578468903211134,0.311567160524111,0.0477253717624306,0,0.0038775630938002,0.623520697668313,0.0247518480523254,0.575616645216918,0.0354902008836198
5,1,0.388680349046946,0.590171377506162,0.998758098416194,0.303115813175443,0.0001571499952184,0.0,0.465861452907577,0.0007160716071607,0.0,0.15557709325355,0.174435095017491,0.325387281601471,0.0181042697037071,0.0215649425169015,0.847982831794045,0.689105149844571,0.21756642290514,608000000.0,0.0003517819250519,0.263249955319331,0.388025781453746,0.0027400850543368,0.0008546613981262,0.630183833098177,0.0142131516792967,0.180427487377936,0.0049131925890905,0.38144818747302,0.0057491225504533,0.400419065328909,0.095952023988006,0.001527801730697,0.0041371890170226,650000000.0,9300000000.0,0.0296774193548387,0.0213004714833365,0.377569480563533,0.0328287701112501,0.686728646249993,0.080263714948153,0.214535988082286,0.0026452256427289,0.0009884249762449,0.0001008563413234,0.276678474304155,0.0048791312032084,0.733351868524405,0.725201638712989,0.0037725048904946,0.903041267113845,0.0018656086149692,0.0400936219797891,8010000000.0,2810000000.0,0.593845782013285,295000000.0,0.603193479638275,0.637469771661206,0.458499292999359,0.622190123354673,0.313268471822869,0.099521933114496,0,0.0052778749010734,0.622604643368344,0.026675365750547,0.56453833936354,0.0195344778286463
6,0,0.390922829425243,0.619949840729904,0.998993121473643,0.302814414633032,0.0003984833580005,730000000.0,0.461020105181047,0.0008050805080508,0.0,0.158821794277527,0.161482461945731,0.31668670863691,0.0309148932952191,0.0221122500924914,0.84832246862509,0.688589850304315,0.217604461369292,5720000000.0,0.0003517569706697,0.263032379886705,0.375302708542901,0.004672060305584,0.0028690421678704,0.629987945370611,0.0244412223346921,0.216101823019016,0.0050050443378652,0.384998982291879,0.008043896850931,0.400574473187455,0.100449775112444,0.0016617126393637,0.0038050184230862,0.0001620299292972,0.0001452475676706,0.0408064516129032,0.0114595420295815,0.393172926889939,0.0097031414638638,0.729416462238773,0.255093170002626,0.295221006636909,0.0229885979786101,0.0039738300376393,0.0010503117869961,0.276643291966357,0.0021593494146816,0.508088825932489,0.728730796471968,0.0093474263545427,0.911441407767521,0.002120735670224,0.0928023065929925,0.0001058010525107,9560000000.0,0.593893372221075,2390000000.0,0.355853781517835,0.630419077246026,0.457785444710335,0.56065299962732,0.310296437752667,0.060765124792415,0,0.0183718717412392,0.623655441812907,0.0266222980418273,0.564200119780965,0.0156630746538442
7,0,0.508360551845171,0.601738278153332,0.999008951443589,0.303544587044117,9000000000.0,50900000.0,0.467023980272263,0.0006300630063006,0.157607045247495,0.176983692216931,0.22520563486811,0.324114027021292,0.0425609147420482,0.0221143202941026,0.848082154774354,0.689535186484246,0.217633191808323,6630000000.0,0.0004510504572116,0.264111709443551,0.384234939085727,0.0096573801641804,0.0073045476720146,0.631379022205175,0.0052781805414968,0.108202073948665,0.0056401645589568,0.374219104729994,0.0063834454518865,0.400882609458712,0.218890554722639,0.0013350511803435,0.0047400487582028,0.0001990980970845,0.0005182009575748,0.0462903225806452,0.0280774936474597,0.396463218832681,0.0070580410645001,0.797005213929915,0.361219101269389,0.447942034514932,0.0146159133960059,0.0075649622451681,0.0008881219853254,0.277275204970332,0.005755846417555,0.755769661403609,0.734946410014,0.0053456555444072,0.935449309245632,0.0023599992361997,0.0254821527696264,7290000000.0,6180000000.0,0.593937091602204,734000000.0,0.218473358265378,0.641553075473546,0.45895377822705,0.610090811581399,0.314363648145748,0.0302011045942807,0,0.0100045037641927,0.623842634519071,0.0270305165537491,0.566088941755739,0.0348885561799154
8,0,0.48851947545459,0.603612043990256,0.998960768250395,0.303583500568838,0.000168713644609,0.0,0.463142178941983,0.0007370737073707,0.0058710395789047,0.184189456828621,0.218398411647915,0.318773431421094,0.0266043528895745,0.0221284324318037,0.848158761578544,0.689924337326926,0.217653752422812,6890000000.0,0.0004527224008151,0.264150562199377,0.377994486047465,0.0134988658381721,0.0118230239542251,0.630914987465925,0.0022661158682825,0.058590561417299,0.005417946174319,0.370253398138601,0.0053658477137564,0.397462296847766,0.154422788605697,0.0013025879297576,0.0048553264707514,0.000304188263492,0.0002458617681924,0.0295161290322581,0.0163829443473407,0.391940480767056,0.0088146221616528,0.813737522948239,0.378625211512749,0.414645601298328,0.145189217702725,0.0119376048920973,0.0131902147956569,0.277087430376265,0.0043847546844966,0.906707130576253,0.735182054757404,0.0,0.935200209287994,0.0022739602931646,0.0298840610686264,0.0001026722104262,9840000000.0,0.593958847705178,0.0001052297029592,0.323861362852714,0.649869163687808,0.46216521361677,0.574032785264356,0.315376063533981,0.021710461445184,0,0.0008240712069684,0.623977216792447,0.0268906304546816,0.565591901310376,0.0658264974662765
9,0,0.495685662750451,0.599208694273483,0.999000632043326,0.303482953821731,5820000000.0,0.0,0.470575308455583,0.0006720672067206,0.392448628403685,0.177447220934642,0.217831143046232,0.330161986277145,0.0786635812272184,0.0221183026666678,0.84808350762793,0.689338461456783,0.217700368870897,5550000000.0,0.0004449116792048,0.263883255239294,0.390084199545471,0.0114745351808575,0.0075166534204547,0.6321882576951,0.0063542436097356,0.121292741179672,0.0054752596633365,0.374508760118367,0.0058185873062298,0.40636341591832,0.347826086956522,0.0014689620890101,0.0043028473594999,0.0002059767261585,0.0007383418023256,0.0766129032258065,0.0332799670989821,0.396372764071369,0.0057206126777132,0.825695870708439,0.394951275737478,0.57718930416151,0.0087727909152724,0.0076046826310278,0.0004908833959261,0.277337460862513,0.0103429552829112,0.734899300937657,0.737180245673185,0.0049506820858788,0.938289896761562,0.0022691962830507,0.0358910619841396,5110000000.0,3600000000.0,0.593935897992759,258000000.0,0.254953362305477,0.643428364119162,0.45937868668884,0.645146286139048,0.314645153463564,0.0254943019553504,0,0.005797642207721,0.623865043621207,0.0272430149466587,0.566667622359207,0.0308008650901007
